price_series,horizon,estimation_window,abnormal,return_type,label,n_events,car,ci_low,ci_high,p_value,significant
stitched,180,"(-250, -31)",False,log,stitched/180d/log/raw/none,4,0.8370272127566712,-0.7974060617693662,2.471460487282709,0.2016359916292026,False
bitstamp,365,"(-90, -11)",True,log,bitstamp/365d/log/abn/-90..-11,4,0.9740975389028752,-3.5035500102705135,5.4517450880762635,0.5385055613018735,False
stitched,365,"(-90, -11)",True,log,stitched/365d/log/abn/-90..-11,4,0.9755142722365993,-3.5023590186868105,5.453387563160009,0.537974565935612,False
bitstamp,365,"(-90, -11)",True,simple,bitstamp/365d/simple/abn/-90..-11,4,1.005580800965044,-3.895336327643725,5.9064979295738125,0.5603462186342011,False
stitched,365,"(-90, -11)",True,simple,stitched/365d/simple/abn/-90..-11,4,1.0058396202990973,-3.893403924009684,5.905083164607879,0.5601258070893148,False
stitched,180,"(-250, -31)",False,simple,stitched/180d/simple/raw/none,4,1.0288252297843103,-1.0373650701623378,3.0950155297309587,0.21121984749576594,False
bitstamp,180,"(-250, -31)",False,simple,bitstamp/180d/simple/raw/none,4,1.0291452615498886,-1.0368133009814762,3.0951038240812534,0.21107379914445218,False
binance,365,"(-250, -31)",False,log,binance/365d/log/raw/none,2,1.0800153891654398,-8.97431656670775,11.13434734503863,0.40254503486191406,False
coinbase,365,"(-250, -31)",False,log,coinbase/365d/log/raw/none,3,1.1615126000448603,-0.8365494286568349,3.1595746287465554,0.12950911778226085,False
bitstamp,365,"(-120, -31)",True,simple,bitstamp/365d/simple/abn/-120..-31,4,1.1824894838728683,-2.7573571184075583,5.122336086153295,0.40995931405231456,False
stitched,365,"(-120, -31)",True,simple,stitched/365d/simple/abn/-120..-31,4,1.1855734017815265,-2.7548790471237816,5.126025850686835,0.40894739534054303,False
bitstamp,365,"(-120, -31)",True,log,bitstamp/365d/log/abn/-120..-31,4,1.188224604868749,-2.614507231011979,4.990956440749477,0.3933216147056302,False
stitched,365,"(-120, -31)",True,log,stitched/365d/log/abn/-120..-31,4,1.1913825851897206,-2.614427219719325,4.997192390098766,0.3925586755965064,False
bitstamp,365,"(-250, -31)",True,log,bitstamp/365d/log/abn/-250..-31,4,1.2510055888090799,-1.9064136407227394,4.408424818340899,0.29647903313662044,False
stitched,365,"(-250, -31)",True,log,stitched/365d/log/abn/-250..-31,4,1.2522700685462427,-1.90525831374404,4.409798450836526,0.2960927555550979,False
binance,365,"(-250, -31)",False,simple,binance/365d/simple/raw/none,2,1.2590199176905406,-9.461424273956773,11.979464109337854,0.3758616356248775,False
coinbase,365,"(-250, -31)",False,simple,coinbase/365d/simple/raw/none,3,1.342294237611809,-0.7840278105475911,3.4686162857712093,0.1130254649075888,False
bitstamp,365,"(-250, -31)",True,simple,bitstamp/365d/simple/abn/-250..-31,4,1.370619696689176,-2.0872071853704828,4.828446578748835,0.2963087998491014,False
stitched,365,"(-250, -31)",True,simple,stitched/365d/simple/abn/-250..-31,4,1.3716065133929107,-2.0860250105069165,4.829238037292738,0.29600153286163056,False
stitched,365,"(-250, -31)",False,log,stitched/365d/log/raw/none,4,1.979535527247426,-0.8219889509846623,4.781060005479514,0.11007132455837021,False
bitstamp,365,"(-250, -31)",False,log,bitstamp/365d/log/raw/none,4,1.9797511639179937,-0.8216625801622146,4.7811649079982015,0.1100373025071601,False
stitched,365,"(-250, -31)",False,simple,stitched/365d/simple/raw/none,4,2.340437943750292,-1.0253463220343724,5.706222209534956,0.11378795271572976,False
bitstamp,365,"(-250, -31)",False,simple,bitstamp/365d/simple/raw/none,4,2.3416274364330683,-1.0229104777898028,5.706165350655939,0.1135818567339505,False
